idx,id,yr,binned_senti_score_assets,binned_senti_score_economy,binned_senti_score_expenses,binned_senti_score_govt.policy,binned_senti_score_industry,binned_senti_score_innovation,binned_senti_score_liquidity,binned_senti_score_margins,binned_senti_score_merges_acquisitions,binned_indicators_ratio,binned_senti_score_pricing,binned_senti_score_product.portfolio,binned_senti_score_ratio,binned_senti_score_recent.trends,binned_senti_score_recognition_awards,binned_senti_score_revenue,binned_senti_score_stocks,binned_y_target1,binned_y_target6,binned_y_target12
17,532921,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
18,532921,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
19,532921,2012,"(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
20,532921,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
21,532921,2014,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
22,532921,2015,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
23,500003,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
24,500003,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
25,500003,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
26,500003,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
27,500003,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
28,500003,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
29,532749,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]",NA,"(0,5]","(0,5]",NA,"(0,5]","(0,5]",NA,"(5,10]",NA,"(5,10]",NA,"(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
30,532749,2013,"(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
31,532749,2014,"(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
32,532749,2015,"(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
33,532749,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
34,500425,2010,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(15,20]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
35,500425,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
36,500425,2012,"(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
37,500425,2013,"(10,15]","(0,5]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(10,15]","(10,15]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
38,500425,2014,"(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
39,500425,2015,"(10,15]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]",NA,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
40,500477,2011,"(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
41,500477,2012,"(0,5]","(10,15]","(0,5]",NA,"(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
42,500477,2013,"(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
43,500477,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
44,500477,2015,"(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
45,524804,2010,"(5,10]","(0,5]","(0,5]","(10,15]","(5,10]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
46,524804,2011,"(5,10]","(0,5]","(0,5]",NA,"(10,15]","(10,15]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(15,20]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
47,524804,2012,"(5,10]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
48,524804,2013,"(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
49,524804,2014,"(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
50,524804,2015,"(10,15]","(0,5]","(0,5]","(15,20]","(10,15]","(5,10]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(15,20]","(5,10]","(10,15]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
51,532977,2011,"(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
52,532977,2012,"(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
53,532977,2013,"(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
54,532977,2014,"(5,10]","(5,10]","(0,5]",NA,"(5,10]","(10,15]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
55,532977,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
56,500034,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
57,500034,2011,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
58,500034,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
59,500034,2013,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
60,500034,2014,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
61,500034,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
62,532382,2010,"(0,5]","(5,10]","(0,5]","(15,20]","(10,15]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
63,532382,2011,"(0,5]","(0,5]","(0,5]","(10,15]","(15,20]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(5,10]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
64,532382,2012,"(0,5]","(5,10]","(0,5]","(5,10]",NA,"(10,15]","(5,10]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
65,532382,2013,"(10,15]","(5,10]","(0,5]",NA,"(15,20]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(10,15]","(10,15]",NA,"(5,10]","(0,5]",NA,"(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
66,532382,2014,"(10,15]","(0,5]","(0,5]","(5,10]","(15,20]","(10,15]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(15,20]","(15,20]","(5,10]","(10,15]","(15,20]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
67,532382,2015,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(5,10]","(10,15]","(0,5]","(10,15]","(10,15]","(10,15]","(10,15]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
68,500038,2011,"(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
69,500038,2012,"(0,5]","(5,10]","(0,5]","(10,15]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
70,500038,2013,"(5,10]","(10,15]","(0,5]",NA,"(5,10]","(5,10]","(5,10]","(5,10]","(5,10]","(0,5]","(10,15]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
71,500038,2014,"(0,5]","(10,15]","(0,5]","(5,10]","(0,5]","(10,15]","(5,10]","(0,5]","(0,5]","(0,5]",NA,"(5,10]","(5,10]","(0,5]","(15,20]","(10,15]","(10,15]","(10.5,15.6]","(10.5,15.6]","(10.5,15.6]"
72,500038,2015,"(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
73,500042,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
74,500042,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
75,500042,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
76,500042,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
77,500042,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
78,506285,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
79,506285,2011,"(0,5]","(5,10]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(5,10]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
80,506285,2012,"(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(5,10]","(0,5]","(0,5]","(5,10]","(5,10]","(0,5]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
81,506285,2013,"(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(10,15]","(0,5]","(0,5]","(0,5]","(5,10]","(5,10]","(5,10]","(10,15]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
82,506285,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(15,20]","(0,5]","(0,5]","(5,10]","(15,20]","(5,10]","(15,20]","(5,10]","(5,10]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
83,506285,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
84,501425,2010,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
85,501425,2011,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(5,10]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
86,501425,2012,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
87,501425,2013,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
88,501425,2014,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
89,501425,2015,"(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0,5]","(0.0741,5.28]","(0.0741,5.28]","(0.0741,5.28]"
90,532454,2010,"(15,20]","(10,15]","(5,10]","(5,10]","(0,5]","(10,15]","(0,5]","(5,10]","(10,15]","(0,5]","(10,15]","(0,5]","(10,15]","(5,10]","(0,5]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
91,532454,2011,"(5,10]","(0,5]","(5,10]","(5,10]","(0,5]",NA,"(0,5]","(15,20]","(10,15]","(0,5]",NA,"(5,10]","(5,10]","(5,10]","(0,5]","(5,10]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
92,532454,2012,"(10,15]","(5,10]","(5,10]","(5,10]","(0,5]","(10,15]","(0,5]","(15,20]","(10,15]","(0,5]","(10,15]","(5,10]","(15,20]","(5,10]","(5,10]","(0,5]","(5,10]","(5.28,10.5]","(5.28,10.5]","(5.28,10.5]"
